id;name;region;year;foreign_share;income_per_student;citations_per_staff;publications_per_staff;students_count;ege_avg;pps_salary;cluster;pca1;pca2;cluster_k3;cluster_k5;distance_to_center
666668995;"РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ - ДУХОВНАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЕКАТЕРИНБУРГСКАЯ ДУХОВНАЯ СЕМИНАРИЯ ЕКАТЕРИНБУРГСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ""";Свердловская область;2025;0.0;7.072260734030815;0.0;4.600358628990869;3.828641396489095;54.95;30.97;0;-3.849848638205271;2.0481592582438677;0;0;2.0721180869390103
666669176;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ДОНБАССКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ""";Луганская Народная Республика;2025;0.12;5.945054049285319;3.8312466954008584;5.351526324879179;4.69866052907543;58.64;100.7;0;-1.9283979008171441;0.09286035644220468;0;0;2.14738638266896
666669100;РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ - ДУХОВНАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ «ПЕРЕРВИНСКАЯ ДУХОВНАЯ СЕМИНАРИЯ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ»;Москва;2025;0.0;6.747210869424447;5.509509786742492;5.408157832227569;3.332204510175204;62.0;37.86;0;-2.1137016245584244;0.5740566561282525;0;0;2.3249492133993224
666669404;РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ - ДУХОВНАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ВОЛОГОДСКАЯ ДУХОВНАЯ СЕМИНАРИЯ ВОЛОГОДСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ;Вологодская область;2025;0.0;6.428089117465248;0.0;5.827356119733385;3.1780538303479458;58.2;29.49;0;-3.6275485927533504;1.0834160749298376;0;0;2.4407784273557516
1974;"НЕГОСУДАРСТВЕННОЕ ЧАСТНОЕ УЧРЕЖДЕНИЕ - ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""МИССИОНЕРСКИЙ ИНСТИТУТ""";Свердловская область;2025;0.57;6.496503460112239;6.3017944601011076;4.789739215322525;3.295836866004329;54.0;49.13;0;-2.496633818435825;0.04848276025015089;0;0;2.4870974559992494
666669329;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""АЗОВСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМ. П.Д. ОСИПЕНКО""";Запорожская область;2025;0.04;5.9797208591508095;4.381151251637927;4.355040769588895;3.40452517175483;58.37;182.19;0;-1.8791316488243832;0.8629851133625953;0;0;2.566556788007547
2012;"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКИЙ ГУМАНИТАРНО-ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ - МОСКОВСКИЙ АРХИТЕКТУРНО-СТРОИТЕЛЬНЫЙ ИНСТИТУТ""";Москва;2025;3.27;6.123084739552387;4.405010471064257;3.5406694269487495;3.7612001156935624;55.13;202.73;0;-1.8014149825599886;1.3234843829632388;0;0;2.7297936639275107
666669210;РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ - ДУХОВНАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ «ПСКОВО-ПЕЧЕРСКАЯ ДУХОВНАЯ СЕМИНАРИЯ ПСКОВСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ»;Псковская область;2025;0.0;7.035039699846183;5.121997761949716;6.301592808389593;3.4339872044851463;59.0;63.11;0;-1.8417085961388986;0.599720820274806;0;0;2.7647923717690492
666669061;РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ - ДУХОВНАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ «НОВОСИБИРСКАЯ ПРАВОСЛАВНАЯ ДУХОВНАЯ СЕМИНАРИЯ НОВОСИБИРСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ»;Новосибирская область;2025;0.0;7.048369032376302;5.318708056195771;5.908599109277526;3.1780538303479458;66.8;23.02;0;-1.851173176493986;0.931566908746733;0;0;2.8536425048991005
1870;РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ - ДУХОВНАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ «СМОЛЕНСКАЯ ПРАВОСЛАВНАЯ ДУХОВНАЯ СЕМИНАРИЯ СМОЛЕНСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ»;Смоленская область;2025;6.67;7.091326055176523;2.9496883350525844;6.146029426856893;3.4339872044851463;72.88;7.77;0;-1.5924293652853572;1.8017941259445884;0;0;3.0261073097744244
209;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «РОССИЙСКИЙ ЭКОНОМИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ Г.В. ПЛЕХАНОВА»;Москва;2025;5.67;6.253848042159795;6.974478911025045;5.958760553934854;6.154858094016418;72.52;212.83;1;1.4527032734265148;0.7000187968879864;0;0;0.8255832053790307
197;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ПЕРМСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ПОЛИТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ""";Пермский край;2025;9.62;6.419506209395052;7.936999625833212;6.100565558381516;6.506979160360104;68.54;166.78;1;1.5167068632620184;0.2954902323942311;0;0;0.8952571308480758
162;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ «МЭИ»;Москва;2025;13.27;6.567895310471775;6.887532163293103;6.099847989116507;5.749392985908253;70.57;215.99;1;1.7890757387633658;1.1870170384386773;0;0;0.964772517871725
1767;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ФИНАНСОВЫЙ УНИВЕРСИТЕТ ПРИ ПРАВИТЕЛЬСТВЕ РОССИЙСКОЙ ФЕДЕРАЦИИ""";Москва;2025;8.13;6.431958904135541;7.54932491423275;6.225686505629192;6.054439346269371;79.15;214.83;1;2.2044688772888534;1.070664236254556;0;0;1.0576871139688109
151;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""РОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМ. А.Н. КОСЫГИНА (ТЕХНОЛОГИИ. ДИЗАЙН. ИСКУССТВО)""";Москва;2025;5.14;6.2350379799337;7.542489140991423;5.412984441526163;5.497987561676604;72.53;228.36;1;1.3060957842625531;0.8771132420807826;0;0;1.1754276243831085
134;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «МИРЭА - РОССИЙСКИЙ ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ»;Москва;2025;5.75;6.248100899904227;7.400712204205645;5.555050420855801;5.298317366548036;71.75;246.12;1;1.3855675023978269;0.9487764705741114;0;0;1.3342964580739696
211;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «РОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ ГИДРОМЕТЕОРОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ»;Санкт-Петербург;2025;11.07;6.105930977794322;7.056993914448375;5.572382143040633;5.372496764722288;71.43;143.28;1;0.8383672877924717;0.5237161354104388;0;0;1.3872177529825493
131;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКИЙ АВИАЦИОННЫЙ ИНСТИТУТ (НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ)""";Москва;2025;9.71;6.657112053965342;6.193629580036994;5.203072184631304;5.809642865355678;78.21;241.11;1;1.808098624478466;2.1499583674463585;0;0;1.3958653487243384
57;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ГОСУДАРСТВЕННЫЙ АКАДЕМИЧЕСКИЙ УНИВЕРСИТЕТ ГУМАНИТАРНЫХ НАУК»;Москва;2025;2.56;5.983684359789019;7.68850116402115;5.790907734049872;6.236369590203704;71.39;208.32;1;1.2545624365810408;0.13789870363831067;0;0;1.4700563326328437
240;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «САНКТ-ПЕТЕРБУРГСКИЙ ПОЛИТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ПЕТРА ВЕЛИКОГО»;Санкт-Петербург;2025;15.85;6.363924253602162;8.321659943309943;6.005835784406955;6.724072796548841;77.61;185.95;1;2.6842529398717554;0.8625768033112999;0;0;1.4783581265370365
298;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ТУЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ»;Тульская область;2025;4.33;5.8718078823042195;6.918833686189138;5.491372775544961;5.91350300563827;64.46;120.16;2;-0.08223871130648461;-0.3516849188854332;0;0;0.5330928258609005
297;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ТУЛЬСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМ. Л.Н. ТОЛСТОГО""";Тульская область;2025;3.0;5.687449820035304;7.208163529027544;5.600235129026472;6.127305770019395;62.81;116.28;2;-0.15597964685478996;-0.8134816683014278;0;0;0.6487340693752349
325;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ЧЕРЕПОВЕЦКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ»;Вологодская область;2025;1.98;5.805436128382701;7.395150543181115;5.728019699020247;5.802118375377063;62.94;117.84;2;-0.2009204446254958;-0.7600928025034247;0;0;0.7217744722885072
176;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ""";Новосибирская область;2025;6.69;5.466666765775108;7.187339653396301;5.426226735170068;6.105908681498851;63.11;115.13;2;-0.015627726656178818;-0.8682251690611138;0;0;0.7315030699059506
34;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ВОЛГОГРАДСКИЙ ГОСУДАРСТВЕННЫЙ СОЦИАЛЬНО-ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ""";Волгоградская область;2025;4.9;5.394445393642257;7.484458526886929;5.841774736127377;5.908082938168931;63.5;86.31;2;-0.21033720465942005;-1.3172413729085917;0;0;0.8247906131630752
291;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ТОЛЬЯТТИНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ»;Самарская область;2025;7.58;5.8394199811983;5.775606889094572;5.27469043591688;5.8254099627779;63.75;107.16;2;-0.3747901627578447;-0.04293909187584344;0;0;0.8378062701927683
201;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «САМАРСКИЙ ГОСУДАРСТВЕННЫЙ СОЦИАЛЬНО-ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ»;Самарская область;2025;5.91;5.519298581697563;5.856131532536831;5.539182950849863;5.409411414053624;64.32;89.59;2;-0.6665973335188615;-0.5750107428901854;0;0;0.8629385889810778
120;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МАГНИТОГОРСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ИМ. Г.И. НОСОВА""";Челябинская область;2025;3.6;5.831853151340319;8.235548855096686;6.275816079463307;5.610204127696635;62.4;107.12;2;0.0830781888551574;-1.1362287304195924;0;0;0.8893552401576291
281;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""СЫКТЫВКАРСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ ПИТИРИМА СОРОКИНА""";Республика Коми;2025;4.02;5.900992643943907;7.335379712315288;6.0519244494765605;5.883879336428045;64.06;148.37;2;0.34447342650972906;-0.521466051929917;0;0;0.9458141171209853
14;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «БАШКИРСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМ. М. АКМУЛЛЫ»;Республика Башкортостан;2025;7.93;5.670018844503392;7.309279297857039;6.746893798685658;5.664001604644357;64.13;108.3;2;0.3754166730709087;-1.0801232224893946;0;0;1.0002443009598643
